time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-28 00:00:00+00:00,4,4,4,4
2026-05-29 00:00:00+00:00,5,5,7,5
2026-05-30 00:00:00+00:00,0,0,17,11
2026-05-31 00:00:00+00:00,5,4,15,6
2026-06-01 00:00:00+00:00,20,11,13,9
2026-06-02 00:00:00+00:00,6,4,7,6
2026-06-03 00:00:00+00:00,1,1,8,5
2026-06-04 00:00:00+00:00,2,2,4,3
2026-06-05 00:00:00+00:00,0,0,28,11
2026-06-06 00:00:00+00:00,17,10,44,23
2026-06-07 00:00:00+00:00,0,0,26,12
2026-06-08 00:00:00+00:00,0,0,11,8
2026-06-09 00:00:00+00:00,1,1,13,6
2026-06-10 00:00:00+00:00,3,1,11,5
