url_path,views_total,views_unique
/ing-gom/Sts2SkinManager,51,43
/ing-gom/Sts2SkinManager/releases/tag/v0.27.1,5,5
/ing-gom/Sts2SkinManager/releases,4,3
/ing-gom/Sts2SkinManager/tree/main/Sts2SkinManagerCode,4,3
/ing-gom/Sts2SkinManager/blob/main/Sts2SkinManager-v0.11.4.zip,2,2
/ing-gom/Sts2SkinManager/tree/main/docs/screenshots,2,2
/ing-gom/Sts2SkinManager/blob/main/NEXUS_DESCRIPTION.md,1,1
/ing-gom/Sts2SkinManager/blob/main/README.ko.md,1,1
/ing-gom/Sts2SkinManager/blob/main/Sts2SkinManager-v0.10.0.zip,1,1
/ing-gom/Sts2SkinManager/blob/main/docs/screenshots/character-select.png,1,1
