time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-05 00:00:00+00:00,0,0,0,0
2026-05-06 00:00:00+00:00,0,0,0,0
2026-05-07 00:00:00+00:00,0,0,0,0
2026-05-08 00:00:00+00:00,0,0,0,0
2026-05-09 00:00:00+00:00,0,0,0,0
2026-05-10 00:00:00+00:00,0,0,0,0
2026-05-11 00:00:00+00:00,0,0,0,0
2026-05-12 00:00:00+00:00,112,74,84,42
2026-05-13 00:00:00+00:00,36,18,53,37
2026-05-14 00:00:00+00:00,56,31,58,26
2026-05-15 00:00:00+00:00,46,28,169,34
2026-05-16 00:00:00+00:00,9,9,99,36
2026-05-17 00:00:00+00:00,36,19,113,48
2026-05-18 00:00:00+00:00,4,3,57,23
2026-05-19 00:00:00+00:00,10,8,38,12
2026-05-20 00:00:00+00:00,9,5,22,11
2026-05-21 00:00:00+00:00,6,4,4,3
2026-05-22 00:00:00+00:00,40,10,13,8
2026-05-23 00:00:00+00:00,1,1,54,15
2026-05-24 00:00:00+00:00,1,1,30,6
2026-05-25 00:00:00+00:00,12,3,33,12
2026-05-26 00:00:00+00:00,17,12,35,10
2026-05-27 00:00:00+00:00,27,17,17,9
2026-05-28 00:00:00+00:00,4,4,4,4
2026-05-29 00:00:00+00:00,5,5,7,5
2026-05-30 00:00:00+00:00,0,0,17,11
2026-05-31 00:00:00+00:00,5,4,15,6
2026-06-01 00:00:00+00:00,20,11,13,9
2026-06-02 00:00:00+00:00,6,4,7,6
2026-06-03 00:00:00+00:00,1,1,8,5
2026-06-04 00:00:00+00:00,2,2,4,3
2026-06-05 00:00:00+00:00,0,0,28,11
2026-06-06 00:00:00+00:00,17,10,44,23
2026-06-07 00:00:00+00:00,0,0,26,12
2026-06-08 00:00:00+00:00,0,0,11,8
2026-06-09 00:00:00+00:00,1,1,13,6
2026-06-10 00:00:00+00:00,3,1,11,5
2026-06-11 00:00:00+00:00,0,0,19,5
2026-06-12 00:00:00+00:00,14,7,13,6
2026-06-13 00:00:00+00:00,1,1,5,5
2026-06-14 00:00:00+00:00,9,3,3,3
2026-06-15 00:00:00+00:00,1,1,0,0
2026-06-16 00:00:00+00:00,1,1,6,3
2026-06-17 00:00:00+00:00,4,1,8,2
2026-06-18 00:00:00+00:00,1,1,3,2
2026-06-19 00:00:00+00:00,33,16,15,6
2026-06-20 00:00:00+00:00,183,19,13,7
2026-06-21 00:00:00+00:00,1,1,7,5
2026-06-22 00:00:00+00:00,0,0,5,4
2026-06-23 00:00:00+00:00,2,2,16,8
