url_path,views_total,views_unique
/ing-gom/sts2-card-advisor,84,48
/ing-gom/sts2-card-advisor/releases,17,8
/ing-gom/sts2-card-advisor/releases/tag/v1.15.4,15,10
/ing-gom/sts2-card-advisor/blob/main/README.ko.md,12,8
/ing-gom/sts2-card-advisor/issues,6,5
/ing-gom/sts2-card-advisor/releases/tag/v1.14.1,4,3
/ing-gom/sts2-card-advisor/issues/2,3,3
/ing-gom/sts2-card-advisor/commit/2e5b6a0ffedb593605e8b8d6a07fc014b09902a2,2,2
/ing-gom/sts2-card-advisor/projects,2,2
/ing-gom/sts2-card-advisor/releases/tag/v1.15.1,2,2
