time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-05 00:00:00+00:00,3,3,34,16
2026-05-06 00:00:00+00:00,1,1,21,6
2026-05-07 00:00:00+00:00,65,30,30,8
2026-05-08 00:00:00+00:00,10,10,46,10
2026-05-09 00:00:00+00:00,0,0,33,12
2026-05-10 00:00:00+00:00,0,0,25,11
2026-05-11 00:00:00+00:00,71,37,16,8
2026-05-12 00:00:00+00:00,7,7,7,5
2026-05-13 00:00:00+00:00,17,7,20,6
2026-05-14 00:00:00+00:00,2,2,0,0
2026-05-15 00:00:00+00:00,3,3,21,9
2026-05-16 00:00:00+00:00,0,0,27,11
2026-05-17 00:00:00+00:00,2,1,20,9
2026-05-18 00:00:00+00:00,10,7,20,8
2026-05-19 00:00:00+00:00,10,7,6,3
2026-05-20 00:00:00+00:00,1,1,17,4
2026-05-21 00:00:00+00:00,4,4,8,6
2026-05-22 00:00:00+00:00,4,1,8,3
2026-05-23 00:00:00+00:00,0,0,8,2
2026-05-24 00:00:00+00:00,0,0,18,6
2026-05-25 00:00:00+00:00,1,1,7,4
2026-05-26 00:00:00+00:00,2,2,5,1
2026-05-27 00:00:00+00:00,3,3,5,3
2026-05-28 00:00:00+00:00,3,3,6,2
2026-05-29 00:00:00+00:00,5,4,20,5
2026-05-30 00:00:00+00:00,0,0,14,6
2026-05-31 00:00:00+00:00,2,2,4,2
2026-06-01 00:00:00+00:00,1,1,6,3
2026-06-02 00:00:00+00:00,0,0,4,2
2026-06-03 00:00:00+00:00,1,1,21,5
2026-06-04 00:00:00+00:00,0,0,0,0
2026-06-05 00:00:00+00:00,0,0,5,4
2026-06-06 00:00:00+00:00,1,1,2,2
2026-06-07 00:00:00+00:00,1,1,14,6
2026-06-08 00:00:00+00:00,0,0,3,3
2026-06-09 00:00:00+00:00,1,1,2,1
2026-06-10 00:00:00+00:00,0,0,2,1
2026-06-11 00:00:00+00:00,0,0,14,2
2026-06-12 00:00:00+00:00,0,0,6,2
2026-06-13 00:00:00+00:00,1,1,7,4
2026-06-14 00:00:00+00:00,0,0,6,3
2026-06-15 00:00:00+00:00,0,0,11,3
2026-06-16 00:00:00+00:00,1,1,7,4
2026-06-17 00:00:00+00:00,0,0,1,1
2026-06-18 00:00:00+00:00,1,1,2,2
2026-06-19 00:00:00+00:00,15,11,5,2
2026-06-20 00:00:00+00:00,18,6,18,5
2026-06-21 00:00:00+00:00,18,6,0,0
2026-06-22 00:00:00+00:00,131,12,2,2
2026-06-23 00:00:00+00:00,1,1,2,2
2026-06-24 00:00:00+00:00,1,1,1,1
2026-06-25 00:00:00+00:00,0,0,8,2
2026-06-26 00:00:00+00:00,1,1,0,0
2026-06-27 00:00:00+00:00,131,52,10,5
2026-06-28 00:00:00+00:00,140,62,7,2
2026-06-29 00:00:00+00:00,49,28,2,1
2026-06-30 00:00:00+00:00,10,7,3,2
2026-07-01 00:00:00+00:00,2,2,0,0
2026-07-02 00:00:00+00:00,1,1,3,2
2026-07-03 00:00:00+00:00,5,4,6,4
2026-07-04 00:00:00+00:00,1,1,15,5
2026-07-05 00:00:00+00:00,4,1,3,3
2026-07-06 00:00:00+00:00,0,0,0,0
2026-07-07 00:00:00+00:00,0,0,3,1
2026-07-08 00:00:00+00:00,0,0,4,3
2026-07-09 00:00:00+00:00,1,1,10,3
2026-07-10 00:00:00+00:00,0,0,17,4
