time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-21 00:00:00+00:00,62,12,1,1
2026-05-22 00:00:00+00:00,26,11,1,1
2026-05-23 00:00:00+00:00,4,3,0,0
2026-05-24 00:00:00+00:00,31,3,0,0
2026-05-25 00:00:00+00:00,51,4,0,0
2026-05-26 00:00:00+00:00,67,16,0,0
2026-05-27 00:00:00+00:00,101,49,0,0
2026-05-28 00:00:00+00:00,3,3,21,20
2026-05-29 00:00:00+00:00,4,4,0,0
2026-05-30 00:00:00+00:00,5,4,1,1
2026-05-31 00:00:00+00:00,678,77,0,0
2026-06-01 00:00:00+00:00,7,7,1,1
2026-06-02 00:00:00+00:00,2,2,2,1
2026-06-03 00:00:00+00:00,165,51,0,0
