time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-05 00:00:00+00:00,0,0,0,0
2026-05-06 00:00:00+00:00,0,0,0,0
2026-05-07 00:00:00+00:00,0,0,0,0
2026-05-08 00:00:00+00:00,0,0,0,0
2026-05-09 00:00:00+00:00,0,0,0,0
2026-05-10 00:00:00+00:00,0,0,0,0
2026-05-11 00:00:00+00:00,0,0,0,0
2026-05-12 00:00:00+00:00,0,0,0,0
2026-05-13 00:00:00+00:00,0,0,0,0
2026-05-14 00:00:00+00:00,0,0,0,0
2026-05-15 00:00:00+00:00,12,12,1,1
2026-05-16 00:00:00+00:00,1339,241,1,1
2026-05-17 00:00:00+00:00,131,51,0,0
2026-05-18 00:00:00+00:00,438,220,15,2
2026-05-19 00:00:00+00:00,251,142,10,1
2026-05-20 00:00:00+00:00,93,50,7,1
2026-05-21 00:00:00+00:00,62,12,1,1
2026-05-22 00:00:00+00:00,26,11,1,1
2026-05-23 00:00:00+00:00,4,3,0,0
2026-05-24 00:00:00+00:00,31,3,0,0
2026-05-25 00:00:00+00:00,51,4,0,0
2026-05-26 00:00:00+00:00,67,16,0,0
2026-05-27 00:00:00+00:00,101,49,0,0
2026-05-28 00:00:00+00:00,3,3,21,20
2026-05-29 00:00:00+00:00,4,4,0,0
2026-05-30 00:00:00+00:00,5,4,1,1
