time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-31 00:00:00+00:00,0,0,6,4
2026-09-01 00:00:00+00:00,0,0,23,9
2026-09-02 00:00:00+00:00,1,1,10,5
2026-09-03 00:00:00+00:00,0,0,10,8
2026-09-04 00:00:00+00:00,1,1,7,4
2026-09-05 00:00:00+00:00,0,0,23,13
2026-09-06 00:00:00+00:00,0,0,11,9
2026-09-07 00:00:00+00:00,1,1,12,7
2026-09-08 00:00:00+00:00,0,0,6,5
2026-09-09 00:00:00+00:00,0,0,9,6
2026-09-10 00:00:00+00:00,2,2,17,10
2026-09-11 00:00:00+00:00,0,0,8,7
2026-09-12 00:00:00+00:00,1,1,53,8
2026-09-13 00:00:00+00:00,20,9,17,13
