time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-17 00:00:00+00:00,0,0,0,0
2026-06-18 00:00:00+00:00,0,0,0,0
2026-06-19 00:00:00+00:00,0,0,0,0
2026-06-20 00:00:00+00:00,0,0,0,0
2026-06-21 00:00:00+00:00,0,0,0,0
2026-06-22 00:00:00+00:00,0,0,0,0
2026-06-23 00:00:00+00:00,0,0,0,0
2026-06-24 00:00:00+00:00,0,0,0,0
2026-06-25 00:00:00+00:00,0,0,0,0
2026-06-26 00:00:00+00:00,0,0,0,0
2026-06-27 00:00:00+00:00,43,30,5,4
2026-06-28 00:00:00+00:00,1,1,6,2
2026-06-29 00:00:00+00:00,74,29,9,6
2026-06-30 00:00:00+00:00,21,14,22,12
2026-07-01 00:00:00+00:00,9,6,14,8
2026-07-02 00:00:00+00:00,19,14,2,2
2026-07-03 00:00:00+00:00,2,2,61,7
2026-07-04 00:00:00+00:00,1,1,12,6
2026-07-05 00:00:00+00:00,0,0,10,4
2026-07-06 00:00:00+00:00,6,6,11,5
2026-07-07 00:00:00+00:00,11,7,4,3
2026-07-08 00:00:00+00:00,3,3,5,2
2026-07-09 00:00:00+00:00,0,0,8,5
2026-07-10 00:00:00+00:00,2,2,0,0
2026-07-11 00:00:00+00:00,3,2,6,2
2026-07-12 00:00:00+00:00,5,5,7,4
2026-07-13 00:00:00+00:00,2,2,5,3
2026-07-14 00:00:00+00:00,2,2,0,0
2026-07-15 00:00:00+00:00,20,13,9,2
2026-07-16 00:00:00+00:00,9,5,3,3
2026-07-17 00:00:00+00:00,0,0,6,4
2026-07-18 00:00:00+00:00,2,2,8,5
2026-07-19 00:00:00+00:00,5,3,26,12
2026-07-20 00:00:00+00:00,56,29,4,4
2026-07-21 00:00:00+00:00,4,4,14,11
2026-07-22 00:00:00+00:00,2,2,9,9
2026-07-23 00:00:00+00:00,0,0,4,4
2026-07-24 00:00:00+00:00,0,0,5,4
2026-07-25 00:00:00+00:00,3,3,9,6
2026-07-26 00:00:00+00:00,0,0,14,11
2026-07-27 00:00:00+00:00,0,0,3,3
2026-07-28 00:00:00+00:00,1,1,5,3
2026-07-29 00:00:00+00:00,0,0,8,6
2026-07-30 00:00:00+00:00,1,1,6,6
2026-07-31 00:00:00+00:00,0,0,19,6
2026-08-01 00:00:00+00:00,0,0,9,5
2026-08-02 00:00:00+00:00,0,0,13,8
2026-08-03 00:00:00+00:00,0,0,2,2
2026-08-04 00:00:00+00:00,0,0,5,3
2026-08-05 00:00:00+00:00,0,0,17,9
2026-08-06 00:00:00+00:00,0,0,3,3
2026-08-07 00:00:00+00:00,0,0,8,6
2026-08-08 00:00:00+00:00,0,0,7,5
2026-08-09 00:00:00+00:00,0,0,7,5
2026-08-10 00:00:00+00:00,0,0,18,9
2026-08-11 00:00:00+00:00,0,0,9,7
2026-08-12 00:00:00+00:00,0,0,11,3
2026-08-13 00:00:00+00:00,0,0,14,8
2026-08-14 00:00:00+00:00,1,1,10,3
2026-08-15 00:00:00+00:00,0,0,30,11
2026-08-16 00:00:00+00:00,0,0,16,12
2026-08-17 00:00:00+00:00,0,0,12,10
2026-08-18 00:00:00+00:00,0,0,7,4
2026-08-19 00:00:00+00:00,5,5,14,7
2026-08-20 00:00:00+00:00,0,0,9,5
2026-08-21 00:00:00+00:00,3,3,21,12
2026-08-22 00:00:00+00:00,0,0,16,10
2026-08-23 00:00:00+00:00,0,0,32,10
