time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-17 00:00:00+00:00,0,0,0,0
2026-06-18 00:00:00+00:00,0,0,0,0
2026-06-19 00:00:00+00:00,77,42,41,15
2026-06-20 00:00:00+00:00,2,2,11,7
2026-06-21 00:00:00+00:00,0,0,3,2
2026-06-22 00:00:00+00:00,1,1,4,3
2026-06-23 00:00:00+00:00,0,0,2,1
2026-06-24 00:00:00+00:00,0,0,0,0
2026-06-25 00:00:00+00:00,0,0,1,1
2026-06-26 00:00:00+00:00,4,3,2,2
2026-06-27 00:00:00+00:00,1,1,6,4
2026-06-28 00:00:00+00:00,0,0,4,3
2026-06-29 00:00:00+00:00,2,2,5,2
2026-06-30 00:00:00+00:00,21,12,12,8
2026-07-01 00:00:00+00:00,6,6,12,7
2026-07-02 00:00:00+00:00,2,2,3,3
2026-07-03 00:00:00+00:00,1,1,15,9
2026-07-04 00:00:00+00:00,4,3,8,4
2026-07-05 00:00:00+00:00,2,2,8,6
2026-07-06 00:00:00+00:00,1,1,9,6
2026-07-07 00:00:00+00:00,19,11,12,3
2026-07-08 00:00:00+00:00,3,3,3,3
2026-07-09 00:00:00+00:00,1,1,3,2
2026-07-10 00:00:00+00:00,17,9,6,5
2026-07-11 00:00:00+00:00,3,3,3,3
