time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-29 00:00:00+00:00,0,0,0,0
2026-06-30 00:00:00+00:00,0,0,0,0
2026-07-01 00:00:00+00:00,11,10,1,1
2026-07-02 00:00:00+00:00,49,29,15,6
2026-07-03 00:00:00+00:00,36,22,22,12
2026-07-04 00:00:00+00:00,182,69,26,17
2026-07-05 00:00:00+00:00,45,24,21,15
2026-07-06 00:00:00+00:00,27,16,12,7
2026-07-07 00:00:00+00:00,23,15,19,9
2026-07-08 00:00:00+00:00,51,24,36,19
2026-07-09 00:00:00+00:00,13,8,4,4
2026-07-10 00:00:00+00:00,63,26,1,1
2026-07-11 00:00:00+00:00,3,3,7,3
2026-07-12 00:00:00+00:00,16,9,3,1
