time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-05 00:00:00+00:00,1,1,38,8
2026-05-06 00:00:00+00:00,30,8,2,2
2026-05-07 00:00:00+00:00,20,12,11,1
2026-05-08 00:00:00+00:00,4,4,30,2
2026-05-09 00:00:00+00:00,1,1,13,3
2026-05-10 00:00:00+00:00,0,0,4,3
2026-05-11 00:00:00+00:00,1,1,5,3
2026-05-12 00:00:00+00:00,3,3,1,1
2026-05-13 00:00:00+00:00,0,0,3,3
2026-05-14 00:00:00+00:00,5,5,19,2
2026-05-15 00:00:00+00:00,2,2,12,4
2026-05-16 00:00:00+00:00,1,1,2,1
2026-05-17 00:00:00+00:00,2,2,14,3
2026-05-18 00:00:00+00:00,0,0,3,2
2026-05-19 00:00:00+00:00,15,10,12,4
2026-05-20 00:00:00+00:00,2,2,6,3
2026-05-21 00:00:00+00:00,0,0,10,4
2026-05-22 00:00:00+00:00,0,0,20,3
2026-05-23 00:00:00+00:00,0,0,8,3
2026-05-24 00:00:00+00:00,0,0,0,0
2026-05-25 00:00:00+00:00,0,0,11,4
2026-05-26 00:00:00+00:00,2,2,7,3
2026-05-27 00:00:00+00:00,0,0,2,1
2026-05-28 00:00:00+00:00,4,4,1,1
